Date,marrakech_lag_1,TES,MRE,Total Arrivées,Nuité,Taux d'occupation
08-2018,73.0,595579.0,1146142.0,1741721,2893314.0,57.0
09-2018,67.0,523395.0,316264.0,839659,2142246.0,50.0
10-2018,72.0,652600.0,297479.0,950079,2217975.0,50.0
11-2018,69.0,557185.0,276296.0,833481,1823050.0,46.0
12-2018,66.0,570653.0,382029.0,952682,1718189.0,41.0
01-2019,77.0,479056.0,312835.0,791891,1593011.0,
02-2019,73.0,518846.0,284190.0,803036,1687793.0,
03-2019,76.0,598406.0,312842.0,911248,2175961.0,
04-2019,78.0,689215.0,388604.0,1077819,2548282.0,
05-2019,83.0,475117.0,249014.0,724131,1473077.0,
06-2019,66.0,600091.0,492341.0,1092432,2008799.0,
07-2019,70.0,733880.0,1410644.0,2144524,2503862.0,
08-2019,80.0,662760.0,1059321.0,1722081,3022911.0,
09-2019,79.0,535809.0,347983.0,883792,2241340.0,
10-2019,77.0,657350.0,314861.0,972211,2300918.0,
11-2019,73.0,518103.0,297242.0,815345,1948283.0,
12-2019,76.0,574847.0,419377.0,994224,1767518.0,
01-2021,72.0,50534.0,141327.0,191861,408092.0,
02-2021,34.0,32686.0,89018.0,121704,406641.0,
03-2021,32.0,36989.0,79401.0,116390,499935.0,
04-2021,36.0,14222.0,15995.0,30217,270213.0,
05-2021,28.0,21995.0,19013.0,41008,433023.0,
06-2021,32.0,100985.0,239980.0,340965,703183.0,
07-2021,39.0,264761.0,712576.0,977337,1314571.0,
08-2021,47.0,188453.0,469074.0,657527,1588969.0,
09-2021,42.0,142806.0,195222.0,338028,1068654.0,
10-2021,42.0,248642.0,261324.0,509966,1007315.0,
11-2021,50.0,178544.0,204872.0,383416,933081.0,
12-2021,43.0,3718.0,9565.0,13283,559906.0,
01-2022,33.0,2774.0,8131.0,10905,301826.0,11.0
02-2022,39.0,120051.0,201221.0,321272,682549.0,24.0
03-2022,55.0,241920.0,291852.0,533772,1065782.0,33.0
04-2022,66.0,343246.0,243339.0,586585,899267.0,26.0
05-2022,64.0,436416.0,364763.0,801179,1684479.0,43.0
06-2022,70.0,520182.0,623431.0,1143613,1674531.0,45.0
07-2022,65.0,689139.0,1401567.0,2090706,2184747.0,47.0
08-2022,75.0,510183.0,804583.0,1314766,2875411.0,59.0
09-2022,73.0,475089.0,421665.0,896754,1974605.0,49.0
10-2022,69.0,636775.0,481796.0,1118571,2100140.0,48.0
11-2022,68.0,494013.0,403395.0,897408,1810930.0,46.0
12-2022,63.0,594992.0,558340.0,1153332,1755566.0,42.0
01-2023,69.0,444408.0,454921.0,899329,1433861.0,40.0
02-2023,77.0,541643.0,431759.0,973402,1532384.0,47.0
03-2023,77.0,597667.0,452682.0,1050349,1744264.0,47.0
04-2023,70.0,654928.0,461646.0,1116574,1771128.0,44.0
05-2023,76.0,630077.0,495899.0,1125976,1989713.0,51.0
06-2023,73.0,598308.0,769109.0,1367417,1794690.0,47.0
07-2023,66.0,752207.0,1378778.0,2130985,2144696.0,51.0
08-2023,75.0,616143.0,878037.0,1494180,2434398.0,60.0
09-2023,82.0,500010.0,463775.0,963785,1634659.0,45.0
10-2023,96.0,651793.0,499229.0,1151022,2062500.0,51.0
11-2023,67.0,526626.0,450423.0,977049,1646854.0,46.0
12-2023,62.0,636217.0,638475.0,1274692,1587377.0,42.0
01-2024,69.0,494208.0,498333.0,992541,1564864.0,39.0
02-2024,78.0,642733.0,505266.0,1147999,1668055.0,45.0
03-2024,82.0,691026.0,466481.0,1157507,1687468.0,43.0
04-2024,84.0,754100.0,554558.0,1308658,2055934.0,51.0
