TES,tangier morocco_lag0,casablanca airport_lag0,morocco visa_lag0,rabat morocco_lag0,fes morocco_lag0,marrakech morocco_lag0
476089.0,49.0,54.0,33.0,61.0,56.0,48.0
526142.0,63.0,71.0,41.0,69.0,71.0,60.0
595579.0,74.0,73.0,42.0,66.0,73.0,62.0
662760.0,70.0,79.0,50.0,69.0,72.0,62.0
188453.0,32.0,40.0,26.0,39.0,30.0,24.0
510183.0,59.0,62.0,57.0,60.0,55.0,47.0
616143.0,72.0,68.0,73.0,71.0,64.0,57.0
829406.0,76.0,81.0,86.0,73.0,62.0,63.0
393909.0,43.0,58.0,27.0,50.0,49.0,39.0
393646.0,37.0,49.0,27.0,51.0,49.0,44.0
408814.0,38.0,46.0,27.0,69.0,54.0,53.0
444438.0,51.0,51.0,27.0,63.0,70.0,55.0
431151.0,51.0,55.0,31.0,66.0,55.0,51.0
434775.0,48.0,51.0,34.0,75.0,61.0,51.0
409430.0,54.0,56.0,36.0,60.0,64.0,58.0
467511.0,60.0,65.0,41.0,71.0,78.0,60.0
523395.0,68.0,65.0,47.0,68.0,82.0,66.0
535809.0,69.0,78.0,53.0,68.0,89.0,73.0
142806.0,29.0,33.0,27.0,40.0,33.0,28.0
475089.0,55.0,61.0,57.0,56.0,60.0,51.0
500010.0,79.0,70.0,66.0,90.0,83.0,100.0
699434.0,85.0,78.0,87.0,73.0,75.0,72.0
488256.0,37.0,61.0,29.0,50.0,57.0,43.0
451442.0,35.0,42.0,26.0,61.0,49.0,46.0
465188.0,42.0,43.0,28.0,59.0,55.0,50.0
500574.0,43.0,56.0,28.0,66.0,56.0,51.0
483134.0,38.0,52.0,30.0,67.0,60.0,49.0
468856.0,54.0,48.0,36.0,78.0,63.0,55.0
463026.0,53.0,58.0,36.0,73.0,64.0,61.0
571957.0,58.0,67.0,44.0,75.0,79.0,69.0
652600.0,64.0,64.0,48.0,67.0,93.0,68.0
657350.0,61.0,75.0,50.0,63.0,94.0,68.0
248642.0,37.0,35.0,30.0,38.0,39.0,35.0
636775.0,58.0,59.0,56.0,64.0,72.0,54.0
651793.0,61.0,65.0,59.0,71.0,65.0,54.0
871449.0,86.0,74.0,83.0,76.0,76.0,75.0
372583.0,31.0,50.0,27.0,47.0,45.0,39.0
340267.0,33.0,37.0,26.0,58.0,44.0,43.0
353943.0,37.0,45.0,26.0,58.0,51.0,42.0
391344.0,44.0,49.0,29.0,62.0,63.0,51.0
373381.0,39.0,47.0,30.0,73.0,60.0,53.0
346872.0,56.0,44.0,31.0,69.0,56.0,47.0
386305.0,48.0,50.0,38.0,68.0,64.0,70.0
469137.0,56.0,60.0,41.0,68.0,75.0,67.0
557185.0,55.0,59.0,47.0,71.0,83.0,69.0
518103.0,56.0,71.0,52.0,66.0,79.0,70.0
178544.0,28.0,40.0,27.0,39.0,34.0,28.0
494013.0,53.0,54.0,60.0,65.0,64.0,58.0
526626.0,56.0,58.0,67.0,65.0,58.0,58.0
720467.0,75.0,70.0,86.0,79.0,73.0,78.0
391648.0,35.0,66.0,24.0,51.0,47.0,41.0
389041.0,32.0,38.0,24.0,49.0,45.0,40.0
398075.0,36.0,43.0,27.0,56.0,51.0,45.0
456865.0,43.0,49.0,28.0,62.0,67.0,52.0
424087.0,39.0,48.0,29.0,68.0,57.0,51.0
402610.0,44.0,45.0,28.0,66.0,56.0,44.0
460774.0,52.0,51.0,37.0,65.0,66.0,55.0
530583.0,54.0,58.0,39.0,70.0,74.0,64.0
570653.0,58.0,59.0,43.0,63.0,73.0,66.0
574847.0,55.0,78.0,50.0,66.0,78.0,65.0
3718.0,23.0,24.0,17.0,29.0,22.0,14.0
594992.0,59.0,61.0,80.0,90.0,75.0,65.0
636217.0,60.0,66.0,68.0,61.0,60.0,57.0
784192.0,71.0,77.0,86.0,75.0,75.0,73.0
