,place name,category,city,link
32,Pepe Nero,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d2103638-Reviews-Pepe_Nero-Marrakech_Marrakech_Safi.html
33,La Pergola Rooftop Jazz Bar & Restaurant,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d15532190-Reviews-La_Pergola_Rooftop_Jazz_Bar_Restaurant-Marrakech_Marrakech_Safi.html
34,Comptoir Darna Marrakech,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d816225-Reviews-Comptoir_Darna_Marrakech-Marrakech_Marrakech_Safi.html
35,Pointbar,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d4953449-Reviews-Pointbar-Marrakech_Marrakech_Safi.html
36,Roti D'or,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d7598335-Reviews-Roti_D_or-Marrakech_Marrakech_Safi.html
37,Bazaar Café,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d6578048-Reviews-Bazaar_Cafe-Marrakech_Marrakech_Safi.html
38,Dardar Rooftop Cocktails & Eat,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d20050692-Reviews-Dardar_Rooftop_Cocktails_Eat-Marrakech_Marrakech_Safi.html
39,Dar Zellij,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d789376-Reviews-Dar_Zellij-Marrakech_Marrakech_Safi.html
40,Medina Burger,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d25126726-Reviews-Medina_Burger-Marrakech_Marrakech_Safi.html
41,Palais Dar Soukkar,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d10381297-Reviews-Palais_Dar_Soukkar-Marrakech_Marrakech_Safi.html
42,Chouf L'Or,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d26584326-Reviews-Chouf_L_Or-Marrakech_Marrakech_Safi.html
43,Kui-Zin Médina,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d4834334-Reviews-Kui_Zin_Medina-Marrakech_Marrakech_Safi.html
44,So Lounge Marrakech,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d2143283-Reviews-So_Lounge_Marrakech-Marrakech_Marrakech_Safi.html
45,Baromètre Marrakech,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d11962970-Reviews-Barometre_Marrakech-Marrakech_Marrakech_Safi.html
46,Terrasse des Epices,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d1740685-Reviews-Terrasse_des_Epices-Marrakech_Marrakech_Safi.html
47,Restaurant Dar Cherifa,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d1478351-Reviews-Restaurant_Dar_Cherifa-Marrakech_Marrakech_Safi.html
48,La Maison Arabe,Restaurant,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d303075-Reviews-La_Maison_Arabe-Marrakech_Marrakech_Safi.html?
49,Sofitel Marrakech Palais Impérial & Spa,Restaurant,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d299685-Reviews-Sofitel_Marrakech_Palais_Imperial_Spa-Marrakech_Marrakech_Safi.html?
50,BlackChich,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d13317417-Reviews-BlackChich-Marrakech_Marrakech_Safi.html
51,Restaurant Red House,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d1926723-Reviews-Restaurant_Red_House-Marrakech_Marrakech_Safi.html
52,Corner Cafe,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d12064808-Reviews-Corner_Cafe-Marrakech_Marrakech_Safi.html
53,NOMAD,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d7009101-Reviews-NOMAD-Marrakech_Marrakech_Safi.html
54,Le Jardin,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d2654194-Reviews-Le_Jardin-Marrakech_Marrakech_Safi.html
55,Movenpick Hotel Mansour Eddahbi Marrakech,Restaurant,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d302479-Reviews-Movenpick_Hotel_Mansour_Eddahbi_Marrakech-Marrakech_Marrakech_Safi.html?
