place name,rating,reviews,category,city,link
Azar,4.6,3666,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d1605469-Reviews-Azar-Marrakech_Marrakech_Safi.html
Naranj,4.7,2996,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d10372757-Reviews-Naranj-Marrakech_Marrakech_Safi.html
Pepe Nero,4.6,6334,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d2103638-Reviews-Pepe_Nero-Marrakech_Marrakech_Safi.html
La Pergola Rooftop Jazz Bar & Restaurant,4.5,1830,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d15532190-Reviews-La_Pergola_Rooftop_Jazz_Bar_Restaurant-Marrakech_Marrakech_Safi.html
Comptoir Darna Marrakech,4.5,8149,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d816225-Reviews-Comptoir_Darna_Marrakech-Marrakech_Marrakech_Safi.html
Pointbar,4.9,2094,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d4953449-Reviews-Pointbar-Marrakech_Marrakech_Safi.html
Roti D'or,4.6,2023,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d7598335-Reviews-Roti_D_or-Marrakech_Marrakech_Safi.html
Bazaar Café,4.7,7487,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d6578048-Reviews-Bazaar_Cafe-Marrakech_Marrakech_Safi.html
Dardar Rooftop Cocktails & Eat,4.6,1861,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d20050692-Reviews-Dardar_Rooftop_Cocktails_Eat-Marrakech_Marrakech_Safi.html
Dar Zellij,4.6,4828,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d789376-Reviews-Dar_Zellij-Marrakech_Marrakech_Safi.html
Medina Burger,4.9,2233,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d25126726-Reviews-Medina_Burger-Marrakech_Marrakech_Safi.html
Palais Dar Soukkar,4.5,2676,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d10381297-Reviews-Palais_Dar_Soukkar-Marrakech_Marrakech_Safi.html
Chouf L'Or,4.9,1713,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d26584326-Reviews-Chouf_L_Or-Marrakech_Marrakech_Safi.html
Kui-Zin Médina,4.5,2520,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d4834334-Reviews-Kui_Zin_Medina-Marrakech_Marrakech_Safi.html
So Lounge Marrakech,4.5,2347,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d2143283-Reviews-So_Lounge_Marrakech-Marrakech_Marrakech_Safi.html
Baromètre Marrakech,4.8,1240,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d11962970-Reviews-Barometre_Marrakech-Marrakech_Marrakech_Safi.html
Terrasse des Epices,4.2,5649,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d1740685-Reviews-Terrasse_des_Epices-Marrakech_Marrakech_Safi.html
Restaurant Dar Cherifa,4.6,4141,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d1478351-Reviews-Restaurant_Dar_Cherifa-Marrakech_Marrakech_Safi.html
La Maison Arabe,4.9,3503,Restaurant,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d303075-Reviews-La_Maison_Arabe-Marrakech_Marrakech_Safi.html?
Sofitel Marrakech Palais Impérial & Spa,4.4,9543,Restaurant,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d299685-Reviews-Sofitel_Marrakech_Palais_Imperial_Spa-Marrakech_Marrakech_Safi.html?
BlackChich,4.8,1329,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d13317417-Reviews-BlackChich-Marrakech_Marrakech_Safi.html
Restaurant Red House,4.6,1036,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d1926723-Reviews-Restaurant_Red_House-Marrakech_Marrakech_Safi.html
Corner Cafe,4.7,1704,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d12064808-Reviews-Corner_Cafe-Marrakech_Marrakech_Safi.html
NOMAD,4.0,6781,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d7009101-Reviews-NOMAD-Marrakech_Marrakech_Safi.html
Le Jardin,4.0,2841,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d2654194-Reviews-Le_Jardin-Marrakech_Marrakech_Safi.html
Movenpick Hotel Mansour Eddahbi Marrakech,4.6,5149,Restaurant,Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d302479-Reviews-Movenpick_Hotel_Mansour_Eddahbi_Marrakech-Marrakech_Marrakech_Safi.html?
Café Restaurant Limoni Marrakech,4.5,2583,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d3753063-Reviews-Cafe_Restaurant_Limoni_Marrakech-Marrakech_Marrakech_Safi.html
La Trattoria Marrakech,4.4,1929,Restaurant,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d1097835-Reviews-La_Trattoria_Marrakech-Marrakech_Marrakech_Safi.html
