TES,zawina morocco,morocco travel restrictions,mamounia hotel marrakech,is morocco safe,marrakech morocco,agadir morocco,marrakech hotels,morocco travel requirements,morocco trips,morocco weather,places in morocco,rabat morocco,best marrakech hotels,marrakech weather,savoy le grand hotel marrakech,agadir weather,le riad marrakech,riad marrakech pas cher,riad marrakech medina,visit morocco,morocco travel from uk,best places in morocco,morocco holidays,best time to visit morocco,morocco visa,marrakech weather in march,riad marrakech,casablanca weather,tangier morocco,morocco tour,flights to morocco,fes morocco,agadir hotels,ogx argan oil of morocco,chefchaouen morocco,agadir weather may,morocco weather in march,flight to morocco,blue city morocco,morocco country,argan oil morocco,morocco visa for indians,morocco time,agadir weather february,things to do in morocco,morocco visa requirements,casablanca hotel,morocco weather february,marrakech weather february,london to morocco,cheap flights to morocco,casablanca airport,morocco language,morocco map,hotel marrakech,air morocco,riad fes morocco,tangier flights,where is morocco,riad fes maroc,morocco travel,morocco travel advice,flights uk to morocco,kings league morocco,5 star marrakech hotels,morocco,brazil vs morocco,1 week morocco itinerary,morocco earthquake 2023,earthquake in morocco,morocco vs,france morocco,morocco vs france,marrakech weather december,usa vs morocco,rayan morocco,morocco world cup,argentina vs morocco,morocco earthquake death toll,morocco vs portugal,morocco portugal,spain morocco
403694.0,0.0,0.0,47.0,15.0,58.0,64.0,52.0,0.0,61.0,33.0,20.0,69.0,21.0,77.0,8.0,50.0,72.0,12.0,56.0,19.0,10.0,13.0,57.0,23.0,15.0,63.0,51.0,50.0,28.0,32.0,60.0,71.0,36.0,54.0,17.0,0.0,56.0,19.0,33.0,7.0,100.0,10.0,10.0,29.0,15.0,64.0,30.0,41.0,20.0,40.0,38.0,24.0,9.0,26.0,85.0,43.0,37.0,34.0,12.0,55.0,70.0,17.0,19.0,0.0,44.0,4.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
481441.0,0.0,0.0,49.0,33.0,58.0,59.0,43.0,0.0,56.0,32.0,50.0,67.0,42.0,72.0,9.0,41.0,58.0,8.0,40.0,40.0,7.0,44.0,48.0,40.0,27.0,54.0,46.0,38.0,31.0,70.0,53.0,65.0,36.0,50.0,22.0,27.0,48.0,37.0,39.0,13.0,77.0,20.0,11.0,58.0,39.0,43.0,37.0,76.0,20.0,39.0,35.0,59.0,14.0,24.0,71.0,35.0,38.0,74.0,17.0,38.0,67.0,15.0,45.0,0.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
518846.0,0.0,0.0,48.0,67.0,60.0,54.0,56.0,6.0,54.0,28.0,97.0,71.0,79.0,66.0,36.0,44.0,51.0,11.0,49.0,88.0,0.0,100.0,38.0,95.0,71.0,51.0,42.0,76.0,68.0,73.0,57.0,67.0,48.0,39.0,79.0,57.0,50.0,77.0,83.0,18.0,84.0,55.0,17.0,60.0,97.0,59.0,52.0,79.0,12.0,43.0,37.0,68.0,18.0,26.0,69.0,33.0,41.0,75.0,22.0,20.0,93.0,0.0,45.0,0.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32686.0,65.0,0.0,100.0,87.0,72.0,60.0,95.0,0.0,71.0,30.0,86.0,74.0,72.0,75.0,69.0,47.0,61.0,100.0,62.0,85.0,0.0,80.0,44.0,100.0,78.0,49.0,61.0,77.0,77.0,94.0,65.0,68.0,72.0,57.0,68.0,64.0,50.0,81.0,76.0,17.0,82.0,76.0,17.0,100.0,77.0,55.0,49.0,100.0,16.0,48.0,99.0,85.0,20.0,26.0,69.0,38.0,57.0,97.0,23.0,24.0,74.0,90.0,35.0,100.0,29.0,12.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120051.0,0.0,0.0,52.0,100.0,76.0,72.0,59.0,5.0,71.0,42.0,100.0,76.0,100.0,90.0,77.0,77.0,72.0,45.0,52.0,100.0,0.0,92.0,44.0,100.0,100.0,78.0,60.0,80.0,81.0,43.0,77.0,86.0,54.0,0.0,68.0,94.0,74.0,100.0,83.0,17.0,80.0,100.0,12.0,20.0,89.0,71.0,48.0,28.0,26.0,58.0,64.0,57.0,16.0,29.0,84.0,45.0,43.0,45.0,25.0,40.0,95.0,9.0,44.0,0.0,26.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
541643.0,0.0,0.0,48.0,8.0,70.0,61.0,54.0,6.0,73.0,33.0,35.0,65.0,24.0,73.0,0.0,54.0,70.0,48.0,12.0,23.0,6.0,20.0,43.0,0.0,30.0,54.0,15.0,52.0,45.0,41.0,73.0,82.0,49.0,0.0,14.0,0.0,55.0,22.0,0.0,5.0,0.0,0.0,19.0,0.0,29.0,52.0,97.0,17.0,15.0,50.0,62.0,64.0,6.0,25.0,83.0,42.0,0.0,37.0,9.0,38.0,62.0,16.0,47.0,0.0,42.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
642733.0,0.0,25.0,41.0,39.0,16.0,13.0,50.0,64.0,21.0,9.0,26.0,31.0,24.0,12.0,0.0,12.0,15.0,33.0,26.0,19.0,13.0,14.0,9.0,17.0,27.0,0.0,33.0,41.0,44.0,32.0,23.0,21.0,44.0,0.0,19.0,0.0,5.0,19.0,0.0,6.0,0.0,0.0,28.0,15.0,33.0,18.0,77.0,16.0,2.0,17.0,61.0,52.0,6.0,10.0,25.0,19.0,17.0,40.0,11.0,0.0,54.0,13.0,29.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
761377.0,0.0,93.0,46.0,8.0,48.0,42.0,62.0,17.0,46.0,29.0,30.0,42.0,24.0,44.0,0.0,39.0,45.0,39.0,58.0,22.0,85.0,25.0,31.0,13.0,25.0,43.0,56.0,44.0,38.0,38.0,62.0,47.0,46.0,0.0,19.0,0.0,57.0,20.0,0.0,4.0,7.0,0.0,26.0,13.0,34.0,56.0,69.0,14.0,9.0,47.0,62.0,44.0,8.0,18.0,57.0,42.0,43.0,23.0,10.0,15.0,63.0,19.0,30.0,0.0,41.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,100.0,1.0,1.0,0.0,0.0,1.0,2.0
437338.0,0.0,6.0,42.0,20.0,62.0,65.0,50.0,9.0,58.0,38.0,33.0,79.0,38.0,72.0,0.0,76.0,65.0,21.0,59.0,24.0,12.0,20.0,43.0,21.0,26.0,51.0,66.0,43.0,39.0,41.0,79.0,80.0,37.0,0.0,19.0,32.0,65.0,21.0,7.0,6.0,14.0,0.0,37.0,18.0,42.0,84.0,64.0,20.0,17.0,66.0,50.0,48.0,7.0,23.0,68.0,48.0,27.0,38.0,10.0,34.0,51.0,26.0,22.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
407232.0,0.0,0.0,42.0,19.0,71.0,75.0,50.0,6.0,67.0,37.0,42.0,78.0,44.0,70.0,0.0,67.0,72.0,24.0,71.0,27.0,13.0,35.0,41.0,25.0,32.0,55.0,64.0,52.0,49.0,40.0,77.0,73.0,35.0,11.0,30.0,34.0,71.0,26.0,11.0,6.0,31.0,0.0,6.0,11.0,43.0,78.0,66.0,17.0,19.0,64.0,46.0,46.0,7.0,22.0,73.0,47.0,34.0,30.0,12.0,25.0,51.0,25.0,30.0,0.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
