date,mm_yy,categorie,nuitees
2014-01-01,01/14,Agadir-Ida-Outanane,321670
2014-01-01,01/14,Autres,99090
2014-01-01,01/14,Casablanca,130493
2014-01-01,01/14,El Jadida-Mazagan,25040
2014-01-01,01/14,Essaouira-Mogador,21965
2014-01-01,01/14,Fès,62265
2014-01-01,01/14,Marrakech,401424
2014-01-01,01/14,Meknès,16284
2014-01-01,01/14,Ouarzazate,17910
2014-01-01,01/14,Oujda-Saïdia,10071
2014-01-01,01/14,Rabat,45500
2014-01-01,01/14,Tanger,50054
2014-01-01,01/14,Tétouan,14031
2014-02-01,02/14,Agadir-Ida-Outanane,325892
2014-02-01,02/14,Autres,91004
2014-02-01,02/14,Casablanca,137605
2014-02-01,02/14,El Jadida-Mazagan,23011
2014-02-01,02/14,Essaouira-Mogador,23334
2014-02-01,02/14,Fès,75737
2014-02-01,02/14,Marrakech,437422
2014-02-01,02/14,Meknès,19041
2014-02-01,02/14,Ouarzazate,22775
2014-02-01,02/14,Oujda-Saïdia,12115
2014-02-01,02/14,Rabat,47469
2014-02-01,02/14,Tanger,47739
2014-02-01,02/14,Tétouan,14219
2014-03-01,03/14,Agadir-Ida-Outanane,357523
2014-03-01,03/14,Autres,108486
2014-03-01,03/14,Casablanca,173842
2014-03-01,03/14,El Jadida-Mazagan,27593
2014-03-01,03/14,Essaouira-Mogador,31173
2014-03-01,03/14,Fès,95597
2014-03-01,03/14,Marrakech,522728
2014-03-01,03/14,Meknès,23246
2014-03-01,03/14,Ouarzazate,34910
2014-03-01,03/14,Oujda-Saïdia,16042
2014-03-01,03/14,Rabat,59622
2014-03-01,03/14,Tanger,60112
2014-03-01,03/14,Tétouan,15119
2014-04-01,04/14,Agadir-Ida-Outanane,372982
2014-04-01,04/14,Autres,132169
2014-04-01,04/14,Casablanca,169013
2014-04-01,04/14,El Jadida-Mazagan,36108
2014-04-01,04/14,Essaouira-Mogador,43583
2014-04-01,04/14,Fès,112233
2014-04-01,04/14,Marrakech,646874
2014-04-01,04/14,Meknès,26783
2014-04-01,04/14,Ouarzazate,48386
2014-04-01,04/14,Oujda-Saïdia,19316
2014-04-01,04/14,Rabat,58120
2014-04-01,04/14,Tanger,72223
2014-04-01,04/14,Tétouan,22725
2014-05-01,05/14,Agadir-Ida-Outanane,383682
2014-05-01,05/14,Autres,119008
2014-05-01,05/14,Casablanca,168870
2014-05-01,05/14,El Jadida-Mazagan,32822
2014-05-01,05/14,Essaouira-Mogador,43584
2014-05-01,05/14,Fès,114341
2014-05-01,05/14,Marrakech,589339
2014-05-01,05/14,Meknès,16412
2014-05-01,05/14,Ouarzazate,35594
2014-05-01,05/14,Oujda-Saïdia,13617
2014-05-01,05/14,Rabat,66353
2014-05-01,05/14,Tanger,79251
2014-05-01,05/14,Tétouan,32571
2014-06-01,06/14,Agadir-Ida-Outanane,307874
2014-06-01,06/14,Autres,75508
2014-06-01,06/14,Casablanca,129537
2014-06-01,06/14,El Jadida-Mazagan,25279
2014-06-01,06/14,Essaouira-Mogador,26811
2014-06-01,06/14,Fès,63522
2014-06-01,06/14,Marrakech,414335
2014-06-01,06/14,Meknès,9937
2014-06-01,06/14,Ouarzazate,11944
2014-06-01,06/14,Oujda-Saïdia,8445
2014-06-01,06/14,Rabat,47897
2014-06-01,06/14,Tanger,60532
2014-06-01,06/14,Tétouan,22035
2014-07-01,07/14,Agadir-Ida-Outanane,458797
2014-07-01,07/14,Autres,97473
2014-07-01,07/14,Casablanca,127858
2014-07-01,07/14,El Jadida-Mazagan,44491
2014-07-01,07/14,Essaouira-Mogador,38146
2014-07-01,07/14,Fès,35941
2014-07-01,07/14,Marrakech,429497
2014-07-01,07/14,Meknès,9342
2014-07-01,07/14,Ouarzazate,12511
2014-07-01,07/14,Oujda-Saïdia,65568
2014-07-01,07/14,Rabat,43807
2014-07-01,07/14,Tanger,73871
2014-07-01,07/14,Tétouan,39932
2014-08-01,08/14,Agadir-Ida-Outanane,763784
2014-08-01,08/14,Autres,182023
2014-08-01,08/14,Casablanca,163764
2014-08-01,08/14,El Jadida-Mazagan,61440
2014-08-01,08/14,Essaouira-Mogador,64444
2014-08-01,08/14,Fès,50621
2014-08-01,08/14,Marrakech,778956
2014-08-01,08/14,Meknès,17570
2014-08-01,08/14,Ouarzazate,19103
2014-08-01,08/14,Oujda-Saïdia,96643
2014-08-01,08/14,Rabat,45920
2014-08-01,08/14,Tanger,153398
2014-08-01,08/14,Tétouan,80220
2014-09-01,09/14,Agadir-Ida-Outanane,418254
2014-09-01,09/14,Autres,106350
2014-09-01,09/14,Casablanca,149835
2014-09-01,09/14,El Jadida-Mazagan,31675
2014-09-01,09/14,Essaouira-Mogador,36015
2014-09-01,09/14,Fès,56849
2014-09-01,09/14,Marrakech,535013
2014-09-01,09/14,Meknès,13633
2014-09-01,09/14,Ouarzazate,22418
2014-09-01,09/14,Oujda-Saïdia,61733
2014-09-01,09/14,Rabat,48850
2014-09-01,09/14,Tanger,98579
2014-09-01,09/14,Tétouan,39055
2014-10-01,10/14,Agadir-Ida-Outanane,384698
2014-10-01,10/14,Autres,104931
2014-10-01,10/14,Casablanca,179147
2014-10-01,10/14,El Jadida-Mazagan,33392
2014-10-01,10/14,Essaouira-Mogador,38062
2014-10-01,10/14,Fès,74391
2014-10-01,10/14,Marrakech,587869
2014-10-01,10/14,Meknès,18162
2014-10-01,10/14,Ouarzazate,38720
