date,mm_yy,categorie,nuitees
2013-01-01,01/13,Agadir,335241
2013-01-01,01/13,Autres,85258
2013-01-01,01/13,Casablanca,130519
2013-01-01,01/13,El Jadida-Mazagan,20606
2013-01-01,01/13,Errachidia,6114
2013-01-01,01/13,Essaouira-Mogador,23603
2013-01-01,01/13,Fès,43483
2013-01-01,01/13,Marrakech,416670
2013-01-01,01/13,Meknès,15053
2013-01-01,01/13,Ouarzazate,19754
2013-01-01,01/13,Oujda-Saïdia,11680
2013-01-01,01/13,Rabat,41946
2013-01-01,01/13,Tanger,57422
2013-01-01,01/13,Tétouan,13084
2013-02-01,02/13,Agadir,320892
2013-02-01,02/13,Autres,77865
2013-02-01,02/13,Casablanca,122359
2013-02-01,02/13,El Jadida-Mazagan,20088
2013-02-01,02/13,Errachidia,7754
2013-02-01,02/13,Essaouira-Mogador,22865
2013-02-01,02/13,Fès,45086
2013-02-01,02/13,Marrakech,468090
2013-02-01,02/13,Meknès,14303
2013-02-01,02/13,Ouarzazate,23274
2013-02-01,02/13,Oujda-Saïdia,9087
2013-02-01,02/13,Rabat,44435
2013-02-01,02/13,Tanger,62709
2013-02-01,02/13,Tétouan,10558
2013-03-01,03/13,Agadir,364347
2013-03-01,03/13,Autres,97958
2013-03-01,03/13,Casablanca,147267
2013-03-01,03/13,El Jadida-Mazagan,25743
2013-03-01,03/13,Errachidia,11233
2013-03-01,03/13,Essaouira-Mogador,41775
2013-03-01,03/13,Fès,75990
2013-03-01,03/13,Marrakech,497442
2013-03-01,03/13,Meknès,21413
2013-03-01,03/13,Ouarzazate,40688
2013-03-01,03/13,Oujda-Saïdia,11474
2013-03-01,03/13,Rabat,56512
2013-03-01,03/13,Tanger,65750
2013-03-01,03/13,Tétouan,10987
2013-04-01,04/13,Agadir,380664
2013-04-01,04/13,Autres,122102
2013-04-01,04/13,Casablanca,169756
2013-04-01,04/13,El Jadida-Mazagan,20197
2013-04-01,04/13,Errachidia,16126
2013-04-01,04/13,Essaouira-Mogador,43132
2013-04-01,04/13,Fès,93889
2013-04-01,04/13,Marrakech,634380
2013-04-01,04/13,Meknès,25589
2013-04-01,04/13,Ouarzazate,49885
2013-04-01,04/13,Oujda-Saïdia,19131
2013-04-01,04/13,Rabat,58633
2013-04-01,04/13,Tanger,75159
2013-04-01,04/13,Tétouan,18404
2013-05-01,05/13,Agadir,400916
2013-05-01,05/13,Autres,103023
2013-05-01,05/13,Casablanca,161807
2013-05-01,05/13,El Jadida-Mazagan,20373
2013-05-01,05/13,Errachidia,10232
2013-05-01,05/13,Essaouira-Mogador,33142
2013-05-01,05/13,Fès,72377
2013-05-01,05/13,Marrakech,520981
2013-05-01,05/13,Meknès,18476
2013-05-01,05/13,Ouarzazate,39002
2013-05-01,05/13,Oujda-Saïdia,20227
2013-05-01,05/13,Rabat,49518
2013-05-01,05/13,Tanger,56799
2013-05-01,05/13,Tétouan,24980
2013-06-01,06/13,Agadir,433944
2013-06-01,06/13,Autres,98294
2013-06-01,06/13,Casablanca,172251
2013-06-01,06/13,El Jadida-Mazagan,29327
2013-06-01,06/13,Errachidia,4322
2013-06-01,06/13,Essaouira-Mogador,35651
2013-06-01,06/13,Fès,61566
2013-06-01,06/13,Marrakech,546954
2013-06-01,06/13,Meknès,16443
2013-06-01,06/13,Ouarzazate,18291
2013-06-01,06/13,Oujda-Saïdia,39304
2013-06-01,06/13,Rabat,55878
2013-06-01,06/13,Tanger,34077
2013-06-01,06/13,Tétouan,31877
2013-07-01,07/13,Agadir,418813
2013-07-01,07/13,Autres,67006
2013-07-01,07/13,Casablanca,120598
2013-07-01,07/13,El Jadida-Mazagan,35198
