date,mm_yy,categorie,nuitees
2016-01-01,01/16,Agadir,323040
2016-01-01,01/16,Casablanca,142864
2016-01-01,01/16,El Jadida-Mazagan,22347
2016-01-01,01/16,Essaouira-Mogador,21440
2016-01-01,01/16,Fès,50445
2016-01-01,01/16,Marrakech,399103
2016-01-01,01/16,Meknès,15553
2016-01-01,01/16,Ouarzazate,16618
2016-01-01,01/16,Oujda-Angad,10763
2016-01-01,01/16,Rabat,42837
2016-01-01,01/16,Saïdia,9241
2016-01-01,01/16,Tanger,57774
2016-01-01,01/16,Tétouan,14945
2016-02-01,02/16,Agadir,330622
2016-02-01,02/16,Casablanca,150474
2016-02-01,02/16,El Jadida-Mazagan,22157
2016-02-01,02/16,Essaouira-Mogador,22369
2016-02-01,02/16,Fès,39914
2016-02-01,02/16,Marrakech,429719
2016-02-01,02/16,Meknès,15535
2016-02-01,02/16,Ouarzazate,21477
2016-02-01,02/16,Oujda-Angad,11025
2016-02-01,02/16,Rabat,41301
2016-02-01,02/16,Saïdia,12255
2016-02-01,02/16,Tanger,55532
2016-02-01,02/16,Tétouan,15475
2016-03-01,03/16,Agadir,331500
2016-03-01,03/16,Casablanca,170296
2016-03-01,03/16,El Jadida-Mazagan,25321
2016-03-01,03/16,Essaouira-Mogador,29872
2016-03-01,03/16,Fès,63677
2016-03-01,03/16,Marrakech,529173
2016-03-01,03/16,Meknès,19974
2016-03-01,03/16,Ouarzazate,36659
2016-03-01,03/16,Oujda-Angad,12299
2016-03-01,03/16,Rabat,50950
2016-03-01,03/16,Saïdia,9875
2016-03-01,03/16,Tanger,70304
2016-03-01,03/16,Tétouan,19013
2016-04-01,04/16,Agadir,368895
2016-04-01,04/16,Casablanca,169741
2016-04-01,04/16,El Jadida-Mazagan,30261
2016-04-01,04/16,Essaouira-Mogador,43697
2016-04-01,04/16,Fès,84212
2016-04-01,04/16,Marrakech,684678
2016-04-01,04/16,Meknès,23945
2016-04-01,04/16,Ouarzazate,39443
2016-04-01,04/16,Oujda-Angad,17713
2016-04-01,04/16,Rabat,59531
2016-04-01,04/16,Saïdia,13173
2016-04-01,04/16,Tanger,76348
2016-04-01,04/16,Tétouan,25903
2016-05-01,05/16,Agadir,364695
2016-05-01,05/16,Casablanca,158223
2016-05-01,05/16,El Jadida-Mazagan,20241
2016-05-01,05/16,Essaouira-Mogador,35681
2016-05-01,05/16,Fès,69964
2016-05-01,05/16,Marrakech,589361
2016-05-01,05/16,Meknès,15471
2016-05-01,05/16,Ouarzazate,29907
2016-05-01,05/16,Oujda-Angad,12742
2016-05-01,05/16,Rabat,44726
2016-05-01,05/16,Saïdia,11713
2016-05-01,05/16,Tanger,63869
2016-05-01,05/16,Tétouan,21453
2016-06-01,06/16,Agadir,248870
2016-06-01,06/16,Casablanca,102380
2016-06-01,06/16,El Jadida-Mazagan,16911
2016-06-01,06/16,Essaouira-Mogador,18490
2016-06-01,06/16,Fès,35905
2016-06-01,06/16,Marrakech,349140
2016-06-01,06/16,Meknès,14797
2016-06-01,06/16,Ouarzazate,9315
2016-06-01,06/16,Oujda-Angad,11777
2016-06-01,06/16,Rabat,41026
2016-06-01,06/16,Saïdia,9377
2016-06-01,06/16,Tanger,49990
2016-06-01,06/16,Tétouan,17063
2016-07-01,07/16,Agadir,587027
2016-07-01,07/16,Casablanca,151714
2016-07-01,07/16,El Jadida-Mazagan,46074
2016-07-01,07/16,Essaouira-Mogador,44016
2016-07-01,07/16,Fès,45389
2016-07-01,07/16,Marrakech,545121
2016-07-01,07/16,Meknès,26019
2016-07-01,07/16,Ouarzazate,12689
2016-07-01,07/16,Oujda-Angad,16710
2016-07-01,07/16,Rabat,49287
2016-07-01,07/16,Saïdia,70546
2016-07-01,07/16,Tanger,117793
2016-07-01,07/16,Tétouan,63123
2016-08-01,08/16,Agadir,817393
2016-08-01,08/16,Casablanca,175468
2016-08-01,08/16,El Jadida-Mazagan,60067
2016-08-01,08/16,Essaouira-Mogador,71091
2016-08-01,08/16,Fès,53812
2016-08-01,08/16,Marrakech,806135
2016-08-01,08/16,Meknès,21383
2016-08-01,08/16,Ouarzazate,17551
2016-08-01,08/16,Oujda-Angad,18887
2016-08-01,08/16,Rabat,48318
2016-08-01,08/16,Saïdia,85335
2016-08-01,08/16,Tanger,145563
2016-08-01,08/16,Tétouan,99143
2016-09-01,09/16,Agadir,442063
2016-09-01,09/16,Casablanca,164740
2016-09-01,09/16,El Jadida-Mazagan,31547
2016-09-01,09/16,Essaouira-Mogador,37079
2016-09-01,09/16,Fès,57144
2016-09-01,09/16,Marrakech,587084
2016-09-01,09/16,Meknès,13917
2016-09-01,09/16,Ouarzazate,22477
2016-09-01,09/16,Oujda-Angad,18266
2016-09-01,09/16,Rabat,48577
2016-09-01,09/16,Saïdia,53828
2016-09-01,09/16,Tanger,94824
2016-09-01,09/16,Tétouan,45617
2016-10-01,10/16,Agadir,378253
2016-10-01,10/16,Casablanca,187159
2016-10-01,10/16,El Jadida-Mazagan,29261
2016-10-01,10/16,Essaouira-Mogador,40025
2016-10-01,10/16,Fès,78927
2016-10-01,10/16,Marrakech,598693
2016-10-01,10/16,Meknès,19874
2016-10-01,10/16,Ouarzazate,34033
2016-10-01,10/16,Oujda-Angad,12568
2016-10-01,10/16,Rabat,65407
2016-10-01,10/16,Saïdia,6736
2016-10-01,10/16,Tanger,82276
2016-10-01,10/16,Tétouan,90959
2016-11-01,11/16,Agadir,363643
2016-11-01,11/16,Casablanca,172133
2016-11-01,11/16,El Jadida-Mazagan,21668
2016-11-01,11/16,Essaouira-Mogador,27360
2016-11-01,11/16,Fès,58073
2016-11-01,11/16,Marrakech,604472
2016-11-01,11/16,Meknès,21412
2016-11-01,11/16,Ouarzazate,25396
2016-11-01,11/16,Oujda-Angad,12173
2016-11-01,11/16,Rabat,55068
2016-11-01,11/16,Saïdia,2233
2016-11-01,11/16,Tanger,74910
2016-11-01,11/16,Tétouan,45110
2016-12-01,12/16,Agadir,353642
2016-12-01,12/16,Casablanca,157041
2016-12-01,12/16,El Jadida-Mazagan,25798
2016-12-01,12/16,Essaouira-Mogador,26695
2016-12-01,12/16,Fès,62875
2016-12-01,12/16,Marrakech,530705
2016-12-01,12/16,Meknès,17999
2016-12-01,12/16,Ouarzazate,21928
2016-12-01,12/16,Oujda-Angad,12783
2016-12-01,12/16,Rabat,49792
2016-12-01,12/16,Saïdia,380
2016-12-01,12/16,Tanger,79628
2016-12-01,12/16,Tétouan,41023
