date,mm_yy,categorie,nuitees
2017-01-01,01/17,Agadir-Taghazout,388934
2017-01-01,01/17,Casablanca,159008
2017-01-01,01/17,El Jadida-Mazagan,18709
2017-01-01,01/17,Essaouira-Mogador,21975
2017-01-01,01/17,Fès,51341
2017-01-01,01/17,Marrakech,422850
2017-01-01,01/17,Meknès,12871
2017-01-01,01/17,Ouarzazate,24682
2017-01-01,01/17,Oujda-Angad,11965
2017-01-01,01/17,Rabat,48700
2017-01-01,01/17,Saïdia,359
2017-01-01,01/17,Tanger,73457
2017-01-01,01/17,Tétouan,14995
2017-02-01,02/17,Agadir-Taghazout,388551
2017-02-01,02/17,Casablanca,163495
2017-02-01,02/17,El Jadida-Mazagan,23919
2017-02-01,02/17,Essaouira-Mogador,25036
2017-02-01,02/17,Fès,64795
2017-02-01,02/17,Marrakech,579549
2017-02-01,02/17,Meknès,17955
2017-02-01,02/17,Ouarzazate,29460
2017-02-01,02/17,Oujda-Angad,10226
2017-02-01,02/17,Rabat,69741
2017-02-01,02/17,Saïdia,612
2017-02-01,02/17,Tanger,68258
2017-02-01,02/17,Tétouan,24796
2017-03-01,03/17,Agadir-Taghazout,397714
2017-03-01,03/17,Casablanca,203821
2017-03-01,03/17,El Jadida-Mazagan,34406
2017-03-01,03/17,Essaouira-Mogador,30701
2017-03-01,03/17,Fès,79746
2017-03-01,03/17,Marrakech,649184
2017-03-01,03/17,Meknès,25833
2017-03-01,03/17,Ouarzazate,50527
2017-03-01,03/17,Oujda-Angad,12685
2017-03-01,03/17,Rabat,69233
2017-03-01,03/17,Saïdia,1555
2017-03-01,03/17,Tanger,89442
2017-03-01,03/17,Tétouan,31728
2017-04-01,04/17,Agadir-Taghazout,443369
2017-04-01,04/17,Casablanca,207044
2017-04-01,04/17,El Jadida-Mazagan,32698
2017-04-01,04/17,Essaouira-Mogador,46599
2017-04-01,04/17,Fès,112213
2017-04-01,04/17,Marrakech,694809
2017-04-01,04/17,Meknès,32970
2017-04-01,04/17,Ouarzazate,59884
2017-04-01,04/17,Oujda-Angad,14769
2017-04-01,04/17,Rabat,71033
2017-04-01,04/17,Saïdia,35115
2017-04-01,04/17,Tanger,122612
2017-04-01,04/17,Tétouan,41386
2017-05-01,05/17,Agadir-Taghazout,381465
2017-05-01,05/17,Casablanca,183145
2017-05-01,05/17,El Jadida-Mazagan,24136
2017-05-01,05/17,Essaouira-Mogador,36095
2017-05-01,05/17,Fès,82946
2017-05-01,05/17,Marrakech,672372
2017-05-01,05/17,Meknès,19162
2017-05-01,05/17,Ouarzazate,50489
2017-05-01,05/17,Oujda-Angad,13965
2017-05-01,05/17,Rabat,67291
2017-05-01,05/17,Saïdia,78152
2017-05-01,05/17,Tanger,99139
2017-05-01,05/17,Tétouan,32993
2017-06-01,06/17,Agadir-Taghazout,323233
2017-06-01,06/17,Casablanca,119772
2017-06-01,06/17,El Jadida-Mazagan,16577
2017-06-01,06/17,Essaouira-Mogador,29722
2017-06-01,06/17,Fès,40054
2017-06-01,06/17,Marrakech,592262
2017-06-01,06/17,Meknès,6053
2017-06-01,06/17,Ouarzazate,16623
2017-06-01,06/17,Oujda-Angad,11772
2017-06-01,06/17,Rabat,30110
2017-06-01,06/17,Saïdia,51608
2017-06-01,06/17,Tanger,58908
2017-06-01,06/17,Tétouan,25327
2017-07-01,07/17,Agadir-Taghazout,630611
2017-07-01,07/17,Casablanca,184954
2017-07-01,07/17,El Jadida-Mazagan,43239
2017-07-01,07/17,Essaouira-Mogador,42615
2017-07-01,07/17,Fès,61827
2017-07-01,07/17,Marrakech,651338
2017-07-01,07/17,Meknès,16697
2017-07-01,07/17,Ouarzazate,22180
2017-07-01,07/17,Oujda-Angad,16555
2017-07-01,07/17,Rabat,63327
2017-07-01,07/17,Saïdia,81961
2017-07-01,07/17,Tanger,142129
2017-07-01,07/17,Tétouan,84322
2017-08-01,08/17,Agadir-Taghazout,835061
2017-08-01,08/17,Casablanca,175577
2017-08-01,08/17,El Jadida-Mazagan,61409
2017-08-01,08/17,Essaouira-Mogador,66436
2017-08-01,08/17,Fès,67471
2017-08-01,08/17,Marrakech,901372
2017-08-01,08/17,Meknès,20458
2017-08-01,08/17,Ouarzazate,21956
2017-08-01,08/17,Oujda-Angad,18628
2017-08-01,08/17,Rabat,83631
2017-08-01,08/17,Saïdia,102304
2017-08-01,08/17,Tanger,179089
2017-08-01,08/17,Tétouan,114160
2017-09-01,09/17,Agadir-Taghazout,489098
2017-09-01,09/17,Casablanca,176951
2017-09-01,09/17,El Jadida-Mazagan,29703
2017-09-01,09/17,Essaouira-Mogador,42142
2017-09-01,09/17,Fès,51120
2017-09-01,09/17,Marrakech,678813
2017-09-01,09/17,Meknès,15431
2017-09-01,09/17,Ouarzazate,27421
2017-09-01,09/17,Oujda-Angad,13980
2017-09-01,09/17,Rabat,72629
2017-09-01,09/17,Saïdia,101604
2017-09-01,09/17,Tanger,117121
2017-09-01,09/17,Tétouan,50802
2017-10-01,10/17,Agadir-Taghazout,427826
2017-10-01,10/17,Casablanca,211495
2017-10-01,10/17,El Jadida-Mazagan,28534
2017-10-01,10/17,Essaouira-Mogador,46833
2017-10-01,10/17,Fès,72888
2017-10-01,10/17,Marrakech,737586
2017-10-01,10/17,Meknès,13246
2017-10-01,10/17,Ouarzazate,44061
2017-10-01,10/17,Oujda-Angad,14265
2017-10-01,10/17,Rabat,76123
2017-10-01,10/17,Saïdia,9839
2017-10-01,10/17,Tanger,112578
2017-10-01,10/17,Tétouan,23132
2017-11-01,11/17,Agadir-Taghazout,381942
2017-11-01,11/17,Casablanca,186843
2017-11-01,11/17,El Jadida-Mazagan,25012
2017-11-01,11/17,Essaouira-Mogador,35378
2017-11-01,11/17,Fès,55034
2017-11-01,11/17,Marrakech,673417
2017-11-01,11/17,Meknès,12545
2017-11-01,11/17,Ouarzazate,33224
2017-11-01,11/17,Oujda-Angad,13219
2017-11-01,11/17,Rabat,64731
2017-11-01,11/17,Saïdia,1845
2017-11-01,11/17,Tanger,92446
2017-11-01,11/17,Tétouan,20241
2017-12-01,12/17,Agadir-Taghazout,363320
2017-12-01,12/17,Casablanca,178382
2017-12-01,12/17,El Jadida-Mazagan,20403
2017-12-01,12/17,Essaouira-Mogador,32823
2017-12-01,12/17,Fès,43678
2017-12-01,12/17,Marrakech,557289
2017-12-01,12/17,Meknès,10874
2017-12-01,12/17,Ouarzazate,32983
2017-12-01,12/17,Oujda-Angad,12945
2017-12-01,12/17,Rabat,68881
2017-12-01,12/17,Saïdia,271
2017-12-01,12/17,Tanger,85255
2017-12-01,12/17,Tétouan,19747
