keyword,lag_mois,correlation,pvalue,n_obs
get pcr test for travel,1,-0.535,4.565088382872336e-14,171
pcr test for travel london,1,-0.535,4.958963012099668e-14,171
riad marrakech airbnb,1,0.533,6.362774099374929e-14,171
airfrance booking,1,0.533,6.013742690492797e-14,171
marrakech morocco weather,1,0.533,5.978037789929425e-14,171
is casablanca worth visiting,6,0.533,1.3821121698071706e-13,166
alicante marrakech,2,0.531,9.532259673961207e-14,170
marrakech restaurante,2,0.53,1.1277678007142181e-13,170
casablanca sale,11,0.529,5.48109007302597e-13,161
morocco travel itinerary,3,0.528,1.704895366100484e-13,169
how to get pcr test for travel,1,-0.528,1.1146095555504903e-13,171
lisbon to casablanca flights,1,0.526,1.4186665933647799e-13,171
pcr test for travel,1,-0.526,1.5299419944911287e-13,171
best time of year to visit morocco,2,0.526,1.6956278648941771e-13,170
"casablanca, morocco weather",3,0.525,2.4522957188521093e-13,169
valencia marrakech,1,0.525,1.6704238325349703e-13,171
luxury hotel marrakech,1,0.525,1.640667565626979e-13,171
byredo casablanca lily,12,0.522,1.5334072236336415e-12,160
uk pcr test for travel,1,-0.521,2.615937042776179e-13,171
marrakech weather 15 days,12,0.521,1.7071104933626148e-12,160
is it safe to visit morocco,1,0.52,3.2272748763200563e-13,171
activités marrakech,2,0.52,3.7847038250543456e-13,170
atlas mountains tour,1,0.52,3.1345098032407385e-13,171
temperature marrakech,2,0.518,4.496225406161685e-13,170
casablanca restaurant,8,0.518,1.1989555744778065e-12,164
casablanca london,1,0.517,4.400951550523874e-13,171
costco travel,1,0.515,5.704946777897395e-13,171
morocco weather in september,1,0.515,5.831253992180717e-13,171
casablanca ai,1,0.513,7.510058782584477e-13,171
tangier morocco weather,1,0.513,7.626938675940247e-13,171
aesop marrakech intense,7,0.511,2.3082770997598174e-12,165
rawabi hotel marrakech & spa,2,0.51,1.2327284729032973e-12,170
royal air maroc manage booking,1,0.507,1.4846883180535941e-12,171
7 days morocco itinerary,1,0.507,1.5473683475113043e-12,171
park hyatt marrakech,6,0.506,3.750108980865605e-12,166
turkish airlines ticket,12,0.504,1.0926754323047275e-11,160
