date,destination,nuité
08-2012,Errachidia,3895
08-2012,Fès,69098
08-2012,Casablanca,133900
08-2012,Ouarzazate,19719
08-2012,Rabat,32949
08-2012,Tanger,82744
08-2012,Tétouan,96615
08-2012,Marrakech,589805
07-2012,Ouarzazate,15209
07-2012,Errachidia,4232
07-2012,Fès,64185
07-2012,Marrakech,511981
07-2012,Agadir,503873
07-2012,Rabat,46172
07-2012,Tanger,97418
07-2012,Tétouan,88175
07-2012,Casablanca,133359
07-2012,Meknès,12903
06-2012,Tétouan,43022
06-2012,Marrakech,452350
06-2012,Tanger,97438
06-2012,Casablanca,142312
06-2012,Errachidia,4618
06-2012,Fès,55913
06-2012,Agadir,387146
06-2012,Meknès,14878
06-2012,Rabat,59540
06-2012,Ouarzazate,20218
05-2012,Meknès,13217
05-2012,Casablanca,150596
05-2012,Errachidia,7370
05-2012,Fès,62028
05-2012,Agadir,326072
05-2012,Ouarzazate,33875
05-2012,Tétouan,23960
05-2012,Rabat,51956
05-2012,Marrakech,517082
05-2012,Tanger,72258
04-2012,Tétouan,19268
04-2012,Tanger,74068
04-2012,Ouarzazate,53733
04-2012,Meknès,24342
04-2012,Marrakech,657252
04-2012,Fès,77621
04-2012,Errachidia,11297
04-2012,Casablanca,150658
04-2012,Agadir,350197
04-2012,Rabat,55560
03-2012,Tanger,65217
03-2012,Tétouan,14489
03-2012,Rabat,54297
03-2012,Ouarzazate,32490
03-2012,Meknès,18018
03-2012,Marrakech,442383
03-2012,Fès,55164
03-2012,Errachidia,9419
03-2012,Casablanca,139630
03-2012,Agadir,327644
02-2012,Casablanca,124298
02-2012,Errachidia,6182
02-2012,Fès,45520
02-2012,Marrakech,423259
02-2012,Meknès,16087
02-2012,Ouarzazate,21651
02-2012,Rabat,49541
02-2012,Tanger,51412
02-2012,Tétouan,12581
02-2012,Agadir,307227
01-2012,Tétouan,11132
01-2012,Tanger,59919
01-2012,Rabat,45450
01-2012,Ouarzazate,17042
01-2012,Meknès,12909
01-2012,Marrakech,347816
01-2012,Fès,40631
01-2012,Errachidia,5163
01-2012,Casablanca,126523
01-2012,Agadir,292571
