date,TES,marrakech_lag_1,is_pandemic,review_count,NSI
2016-08-01,476089.0,63.0,0.0,428.58469945355193,0.7782786885245901
2016-09-01,409430.0,57.0,0.0,451.79234972677597,0.7851393442622951
2016-10-01,463026.0,54.0,0.0,475.0,0.792
2016-11-01,386305.0,55.0,0.0,539.6027397260274,0.785013698630137
2016-12-01,460774.0,57.0,0.0,606.358904109589,0.7777945205479452
2017-01-01,358608.0,53.0,0.0,670.9616438356164,0.7708082191780822
2017-02-01,403694.0,56.0,0.0,737.7178082191781,0.7635890410958904
2017-03-01,476096.0,60.0,0.0,804.4739726027397,0.7563698630136987
2017-04-01,586866.0,63.0,0.0,864.7698630136986,0.7498493150684932
2017-05-01,469609.0,61.0,0.0,931.5260273972603,0.7426301369863013
2017-06-01,412933.0,52.0,0.0,996.1287671232877,0.7356438356164383
2017-07-01,591781.0,52.0,0.0,1062.8849315068492,0.7284246575342466
2017-08-01,526142.0,67.0,0.0,1127.487671232877,0.7214383561643836
2017-09-01,467511.0,66.0,0.0,1194.2438356164384,0.7142191780821917
2017-10-01,571957.0,59.0,0.0,1261.0,0.707
2017-11-01,469137.0,63.0,0.0,1405.4931506849316,0.7074109589041095
2017-12-01,530583.0,67.0,0.0,1554.8027397260275,0.7078356164383561
2018-01-01,431349.0,57.0,0.0,1699.295890410959,0.7082465753424657
2018-02-01,481441.0,72.0,0.0,1848.6054794520549,0.7086712328767123
2018-03-01,625284.0,73.0,0.0,1997.9150684931506,0.7090958904109589
2018-04-01,632117.0,74.0,0.0,2132.7753424657535,0.7094794520547945
2018-05-01,471967.0,72.0,0.0,2282.0849315068494,0.709904109589041
2018-06-01,520623.0,62.0,0.0,2426.5780821917806,0.7103150684931506
2018-07-01,616908.0,60.0,0.0,2575.8876712328765,0.7107397260273972
2018-08-01,595579.0,73.0,0.0,2720.380821917808,0.7111506849315068
2018-09-01,523395.0,67.0,0.0,2869.690410958904,0.7115753424657534
2018-10-01,652600.0,72.0,0.0,3019.0,0.712
2018-11-01,557185.0,69.0,0.0,3200.4794520547944,0.7134794520547945
2018-12-01,570653.0,66.0,0.0,3388.008219178082,0.7150082191780822
2019-01-01,479056.0,77.0,0.0,3569.487671232877,0.7164876712328767
2019-02-01,518846.0,73.0,0.0,3757.0164383561646,0.7180164383561644
2019-03-01,598406.0,76.0,0.0,3944.5452054794523,0.719545205479452
2019-04-01,689215.0,78.0,0.0,4113.92602739726,0.7209260273972602
2019-05-01,475117.0,83.0,0.0,4301.454794520549,0.722454794520548
2019-06-01,600091.0,66.0,0.0,4482.9342465753425,0.7239342465753424
2019-07-01,733880.0,70.0,0.0,4670.463013698631,0.7254630136986301
2019-08-01,662760.0,80.0,0.0,4851.942465753425,0.7269424657534246
2019-09-01,535809.0,79.0,0.0,5039.471232876713,0.7284712328767123
2019-10-01,657350.0,77.0,0.0,5227.0,0.73
2019-11-01,518103.0,73.0,0.0,5051.672131147541,0.7322131147540983
2019-12-01,574847.0,76.0,0.0,4870.5,0.7344999999999999
2020-01-01,580000.0,72.0,1.0,4695.172131147541,0.7367131147540984
2020-02-01,500000.0,80.0,1.0,4514.0,0.739
2020-03-01,47900.0,79.0,1.0,4332.827868852459,0.7412868852459016
2020-04-01,1.0,44.0,1.0,4163.344262295082,0.7434262295081967
2020-05-01,1.0,22.0,1.0,3982.1721311475408,0.7457131147540984
2020-06-01,1.0,23.0,1.0,3806.8442622950815,0.7479262295081968
2020-07-01,1.0,28.0,1.0,3625.6721311475408,0.7502131147540984
2020-08-01,1.0,32.0,1.0,3450.3442622950815,0.7524262295081967
2020-09-01,90000.0,30.0,1.0,3269.1721311475408,0.7547131147540984
2020-10-01,80000.0,28.0,1.0,3088.0,0.757
2020-11-01,60000.0,31.0,1.0,3057.013698630137,0.7586438356164383
2020-12-01,50000.0,31.0,1.0,3024.9945205479453,0.7603424657534247
2021-01-01,50534.0,34.0,1.0,2994.008219178082,0.761986301369863
2021-02-01,32686.0,34.0,1.0,2961.9890410958906,0.7636849315068494
2021-03-01,36989.0,32.0,1.0,2929.9698630136986,0.7653835616438356
2021-04-01,14222.0,36.0,1.0,2901.0493150684933,0.7669178082191781
2021-05-01,21995.0,28.0,1.0,2869.0301369863014,0.7686164383561644
2021-06-01,100985.0,32.0,1.0,2838.043835616438,0.7702602739726028
2021-07-01,264761.0,39.0,1.0,2806.0246575342467,0.7719589041095891
2021-08-01,188453.0,47.0,1.0,2775.0383561643835,0.7736027397260274
